event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IND73863,2020-04-21,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Police Forces of India (2014-),Civilians (India); Health Workers (India); Women (India),State forces,State forces-Rioters,,356,South Asia,India,Haryana,Faridabad,Faridabad,Faridabad,28.4112,77.3131,1,Hindustan Times; Pioneer (India); Indian Express,National,"On 21 April 2020, a mob attacked an Accredited Social Health Activist (ASHA) worker in Faridabad (Haryana) while she was conducting door to door surveillance and collecting information about coronavirus cases. 5 policemen who intervened were also attacked. 3 people including 2 policemen and the ASHA worker, injured. 5 people arrested.",0,crowd size=at least 5,1588090716
IND73865,2020-04-21,2020,1,Political violence,Violence against civilians,Attack,Police Forces of India (2014-),,State forces,Civilians (India),Health Workers (India),Civilians,State forces-Civilians,Civilian targeting,356,South Asia,India,Uttar Pradesh,Kannauj,Kannauj,Kannauj,27.0552,79.9188,1,Amar Ujala,Subnational,"On 21 April 2020, police attacked health workers in Kannauj (UP) for allegedly violating the coronavirus lockdown even though he was providing 'essential' services.",0,,1702343425
IND73869,2020-04-21,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India); Labor Group (India); Women (India),Protesters,,,,Protesters only,,356,South Asia,India,Punjab,Tarn Taran,Tarn Taran,Tarn Taran,31.4519,74.9277,1,Chandigarh Tribune,Subnational,"On 21 April 2020, members of the Anganwadi Mulajazam Workers Union, staged a protest by holding posters and raised slogans from their rooftops, in Tarn Taran (Punjab), demanding better wages and insurance especially during coronavirus.",0,crowd size=no report,1719352796
IND73965,2020-04-20,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (India),,Rioters,Civilians (India),Health Workers (India); Labor Group (India),Civilians,Rioters-Civilians,,356,South Asia,India,Tamil Nadu,Chennai,Chennai,Chennai,13.0878,80.2784,1,Indian Express; Times of India,National,"On 20 April 2020, at least close to 50 local residents held a demonstration against the burial of a coronavirus positive doctor in Chennai city (Chennai, TN). Rioters attacked hospital staffs including doctors and the ambulance.",0,crowd size=at least close to 50,1588090716
IND73858,2020-04-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India),Protesters,,,,Protesters only,,356,South Asia,India,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,28.6653,77.4391,1,Times of India,National,"On 20 April 2020, nurses and health workers, who were attending to a coronavirus patient, staged a protest in Ghaziabad (UP), demanding that they be tested for coronavirus as they came in contact with the patient.",0,crowd size=no report,1588090718
IND73933,2020-04-20,2020,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (India),,Political militia,Civilians (India),Health Workers (India); Women (India),Civilians,Political militia-Civilians,Civilian targeting,356,South Asia,India,Odisha,Nayagarh,Nayagarh,Nayagarh,20.1285,85.0956,2,Hindustan Times,National,"On 20 April 2020, a neighbor threw hot rice gruel on an ASHA health worker's face in Nayagarh district (Odisha), while the former was on her way to Nuagaon to spread awareness about coronavirus. The worker was hospitalized with injuries.",0,,1732047274
IND73963,2020-04-19,2020,1,Demonstrations,Riots,Violent demonstration,Rioters (India),,Rioters,Police Forces of India (2014-),Civilians (India); Health Workers (India),State forces,State forces-Rioters,,356,South Asia,India,Karnataka,Bengaluru Urban,Bengaluru North,Bengaluru,12.9719,77.5936,1,Times of India; Indian Express,National,"On 19 April 2020, locals held a demonstration in Bengaluru city (Bengaluru, KN) as health workers attempted to take 58 secondary contacts of a coronavirus positive patient to quarantine centres. Rioters attacked health workers and the policemen and destroyed pandals. Next day at least 54 people were arrested over the incident.",0,crowd size=at least 54,1618502727
IND73925,2020-04-19,2020,1,Political violence,Riots,Mob violence,Rioters (India),,Rioters,Civilians (India),Health Workers (India),Civilians,Rioters-Civilians,Civilian targeting,356,South Asia,India,Maharashtra,Nashik,Malegaon,Malegaon,20.5496,74.5346,1,Times of India,National,"On 19 April 2020, relatives of a patient who died of coronavirus vandalized medical equipment and assaulted health workers at a quarantine ward in a hospital in Malegaon town (Nashik, Maharashtra), angry about the death of their relative.",0,crowd size=no report,1649278360
IND73923,2020-04-19,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India),Protesters,,,,Protesters only,,356,South Asia,India,Gujarat,Ahmadabad,Ahmadabad City,Ahmedabad,23.0257,72.5872,1,Times of India,National,"On 19 April 2020, private doctors held a protest at SVP hospital in Ahmedabad city (Ahmedabad, Gujarat) against keeping them with coronavirus symptomatic patients, while they had also tested positive.",0,crowd size=no report,1649278360
IND73720,2020-04-18,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India); Labor Group (India),Protesters,,,,Protesters only,,356,South Asia,India,Punjab,Amritsar,Amritsar-II,Amritsar,31.6344,74.8728,2,Chandigarh Tribune,National,"On 18 April 2020, health workers and pharmacists boycotted work and protested in the rural areas near Amritsar (Punjab) demanding better safety and protection kits to deal with coronavirus.",0,crowd size=no report,1702343425
